sku_id,category,subcategory,launch_date,unit_cost,list_price,unit_margin,margin_pct
NB-FUR-001,Furnishings,Seating,2024-11-12,2887.67,5255.63,2367.96,0.4506
NB-FUR-002,Furnishings,Seating,2025-01-21,12988.84,30052.85,17064.01,0.5678
NB-FUR-003,Furnishings,Seating,2024-06-21,2961.86,5257.04,2295.18,0.4366
NB-FUR-004,Furnishings,Bedding,2024-05-31,5581.98,11833.28,6251.300000000001,0.5283
NB-FUR-005,Furnishings,Rugs,2025-03-03,11633.62,26147.08,14513.460000000001,0.5551
NB-FUR-006,Furnishings,Tables,2024-12-17,13321.16,24939.88,11618.720000000001,0.4659
NB-FUR-007,Furnishings,Shelving,2024-09-04,4084.26,7776.19,3691.9299999999994,0.4748
NB-FUR-008,Furnishings,Bedding,2024-07-14,6600.07,10789.53,4189.460000000001,0.3883
NB-FUR-009,Furnishings,Rugs,2024-04-19,3721.4,6827.07,3105.6699999999996,0.4549
NB-FUR-010,Furnishings,Shelving,2025-02-11,11448.96,24771.63,13322.670000000002,0.5378
NB-FUR-011,Furnishings,Shelving,2023-12-19,17770.93,40593.32,22822.39,0.5622
NB-FUR-012,Furnishings,Shelving,2024-12-13,9527.86,21602.41,12074.55,0.5589
NB-FUR-013,Furnishings,Tables,2024-03-22,12887.72,27856.24,14968.520000000002,0.5373
NB-FUR-014,Furnishings,Bedding,2024-11-01,12342.16,25021.41,12679.25,0.5067
NB-FUR-015,Furnishings,Rugs,2024-03-19,6684.19,15643.1,8958.91,0.5727
NB-FUR-016,Furnishings,Shelving,2024-11-09,17049.65428148134,34564.97,17515.31571851866,0.5067
NB-FUR-017,Furnishings,Shelving,2023-11-25,8718.05,14410.51,5692.460000000001,0.395
NB-FUR-018,Furnishings,Shelving,2023-12-10,5795.71,11587.86,5792.150000000001,0.4998
NB-FUR-019,Furnishings,Rugs,2024-02-19,4714.51,8069.85,3355.34,0.4158
NB-FUR-020,Furnishings,Shelving,2024-05-12,14078.71,27351.37,13272.66,0.4853
NB-FUR-021,Furnishings,Tables,2024-06-27,17958.55,30721.07,12762.52,0.4154
NB-FUR-022,Furnishings,Seating,2024-12-15,15847.1,27293.03,11445.929999999998,0.4194
NB-FUR-023,Furnishings,Rugs,2024-05-05,11744.34,22406.01,10661.669999999998,0.4758
NB-FUR-024,Furnishings,Bedding,2023-11-10,6396.92,13066.23,6669.3099999999995,0.5104
NB-FUR-025,Furnishings,Seating,2024-10-21,13066.51,26519.48,13452.97,0.5073
NB-FUR-026,Furnishings,Shelving,2024-07-17,4229.06,8237.41,4008.3499999999995,0.4866
NB-FUR-027,Furnishings,Shelving,2024-06-20,17564.27,38809.48,21245.210000000003,0.5474
NB-FUR-028,Furnishings,Shelving,2024-11-25,15545.87,31187.04,15641.17,0.5015
NB-FUR-029,Furnishings,Tables,2024-06-08,10860.37,24141.53,13281.159999999998,0.5501
NB-FUR-030,Furnishings,Bedding,2023-11-17,7524.42,12156.31,4631.889999999999,0.381
NB-FUR-031,Furnishings,Shelving,2024-05-20,5492.671866917172,11135.36,5642.688133082828,0.5067
NB-FUR-032,Furnishings,Seating,2023-10-23,13844.57,31189.3,17344.73,0.5561
NB-FUR-033,Furnishings,Tables,2024-05-29,4490.07,8891.35,4401.280000000001,0.495
NB-FUR-034,Furnishings,Bedding,2024-11-18,16022.71,31060.19,15037.48,0.4841
NB-FUR-035,Furnishings,Tables,2024-03-28,13550.71,26006.44,12455.73,0.4789
NB-FUR-036,Furnishings,Rugs,2024-10-31,16444.02,32249.83,15805.810000000001,0.4901
NB-FUR-037,Furnishings,Shelving,2024-05-09,2826.03,5773.97,2947.94,0.5106
NB-FUR-038,Furnishings,Seating,2025-01-31,13471.53,22188.94,8717.409999999998,0.3929
NB-FUR-039,Furnishings,Shelving,2024-03-29,3598.29,6442.39,2844.1000000000004,0.4415
NB-FUR-040,Furnishings,Bedding,2024-05-18,4550.83,10687.22,6136.389999999999,0.5742
NB-FUR-041,Furnishings,Tables,2024-11-29,14661.6,32929.92,18268.32,0.5548
NB-FUR-042,Furnishings,Rugs,2023-12-20,7991.61,15414.87,7423.260000000001,0.4816
NB-FUR-043,Furnishings,Seating,2024-01-22,3439.5,7506.95,4067.45,0.5418
NB-FUR-044,Furnishings,Tables,2024-12-25,5469.65,11098.08,5628.43,0.5072
NB-FUR-045,Furnishings,Shelving,2025-01-27,9670.74,22238.73,12567.99,0.5651
NB-FUR-046,Furnishings,Bedding,2024-06-03,4017.59,8524.18,4506.59,0.5287
NB-FUR-047,Furnishings,Seating,2024-12-11,16858.69,38420.22,21561.530000000002,0.5612
NB-FUR-048,Furnishings,Rugs,2025-02-04,5813.08,11165.95,5352.870000000001,0.4794
NB-FUR-049,Furnishings,Seating,2024-01-30,17772.29,32206.28,14433.989999999998,0.4482
NB-FUR-050,Furnishings,Shelving,2024-01-30,9056.62,21426.64,12370.019999999999,0.5773
NB-DÉC-051,Décor,Mirrors,2023-10-28,879.87,1844.83,964.9599999999999,0.5231
NB-DÉC-052,Décor,Candles,2025-02-09,588.97,1244.85,655.8799999999999,0.5269
NB-DÉC-053,Décor,Candles,2025-02-05,3250.1,7576.39,4326.290000000001,0.571
NB-DÉC-054,Décor,Lighting,2025-01-31,3039.16,5678.74,2639.58,0.4648
NB-DÉC-055,Décor,Wall Art,2024-05-19,1651.7,4528.29,2876.59,0.6352
NB-DÉC-056,Décor,Candles,2024-04-04,523.2,984.65,461.44999999999993,0.4686
NB-DÉC-057,Décor,Candles,2024-03-29,1380.75,2845.4,1464.65,0.5147
