sku_id,category,subcategory,forecast_week,week_horizon,predicted_units,lower_ci_80,upper_ci_80,baseline_units,unit_cost,list_price
NB-DÉC-051,Décor,Mirrors,2026-04-06,1,4.2,5.1,28.0,45.0,879.87,1844.83
NB-DÉC-051,Décor,Mirrors,2026-04-13,2,1.2,6.1,17.5,44.0,879.87,1844.83
NB-DÉC-051,Décor,Mirrors,2026-04-20,3,0.3,4.5,10.2,32.0,879.87,1844.83
NB-DÉC-051,Décor,Mirrors,2026-04-27,4,0.0,1.7,6.3,7.0,879.87,1844.83
NB-DÉC-051,Décor,Mirrors,2026-05-04,5,0.0,1.5,6.3,4.2,879.87,1844.83
NB-DÉC-051,Décor,Mirrors,2026-05-11,6,0.0,1.5,6.1,1.2,879.87,1844.83
NB-DÉC-051,Décor,Mirrors,2026-05-18,7,0.5,0.1,5.7,0.3,879.87,1844.83
NB-DÉC-051,Décor,Mirrors,2026-05-25,8,0.0,0.2,5.5,0.0,879.87,1844.83
NB-DÉC-052,Décor,Candles,2026-04-06,1,10.7,6.5,40.4,45.0,588.97,1244.85
NB-DÉC-052,Décor,Candles,2026-04-13,2,5.2,5.3,27.8,50.0,588.97,1244.85
NB-DÉC-052,Décor,Candles,2026-04-20,3,1.4,5.3,20.3,44.0,588.97,1244.85
NB-DÉC-052,Décor,Candles,2026-04-27,4,0.0,1.6,7.9,9.0,588.97,1244.85
NB-DÉC-052,Décor,Candles,2026-05-04,5,0.0,1.5,6.3,10.7,588.97,1244.85
NB-DÉC-052,Décor,Candles,2026-05-11,6,0.0,2.1,6.8,5.2,588.97,1244.85
NB-DÉC-052,Décor,Candles,2026-05-18,7,0.0,0.8,5.4,1.4,588.97,1244.85
NB-DÉC-052,Décor,Candles,2026-05-25,8,0.0,0.1,5.0,0.0,588.97,1244.85
NB-DÉC-053,Décor,Candles,2026-04-06,1,34.1,13.2,38.4,129.0,3250.1,7576.39
NB-DÉC-053,Décor,Candles,2026-04-13,2,47.1,13.5,47.1,91.0,3250.1,7576.39
NB-DÉC-053,Décor,Candles,2026-04-20,3,38.4,12.8,38.4,111.0,3250.1,7576.39
NB-DÉC-053,Décor,Candles,2026-04-27,4,21.6,10.3,21.6,31.0,3250.1,7576.39
NB-DÉC-053,Décor,Candles,2026-05-04,5,17.4,7.3,17.4,34.1,3250.1,7576.39
NB-DÉC-053,Décor,Candles,2026-05-11,6,8.3,6.3,8.3,47.1,3250.1,7576.39
NB-DÉC-053,Décor,Candles,2026-05-18,7,2.5,5.9,12.0,38.4,3250.1,7576.39
NB-DÉC-053,Décor,Candles,2026-05-25,8,1.6,5.3,14.3,21.6,3250.1,7576.39
NB-DÉC-054,Décor,Lighting,2026-04-06,1,35.3,11.3,35.3,87.0,3039.16,5678.74
NB-DÉC-054,Décor,Lighting,2026-04-13,2,27.4,8.8,27.4,81.0,3039.16,5678.74
NB-DÉC-054,Décor,Lighting,2026-04-20,3,19.9,7.6,19.9,91.0,3039.16,5678.74
NB-DÉC-054,Décor,Lighting,2026-04-27,4,9.6,7.5,9.6,16.0,3039.16,5678.74
NB-DÉC-054,Décor,Lighting,2026-05-04,5,3.6,6.4,3.6,35.3,3039.16,5678.74
NB-DÉC-054,Décor,Lighting,2026-05-11,6,0.0,5.2,18.1,27.4,3039.16,5678.74
NB-DÉC-054,Décor,Lighting,2026-05-18,7,1.5,6.1,12.1,19.9,3039.16,5678.74
NB-DÉC-054,Décor,Lighting,2026-05-25,8,0.0,0.9,17.9,9.6,3039.16,5678.74
NB-DÉC-055,Décor,Wall Art,2026-04-06,1,5.5,4.5,20.7,31.0,1651.7,4528.29
NB-DÉC-055,Décor,Wall Art,2026-04-13,2,3.3,5.8,14.3,33.0,1651.7,4528.29
NB-DÉC-055,Décor,Wall Art,2026-04-20,3,0.0,2.4,6.9,30.0,1651.7,4528.29
NB-DÉC-055,Décor,Wall Art,2026-04-27,4,0.0,1.2,6.3,3.0,1651.7,4528.29
NB-DÉC-055,Décor,Wall Art,2026-05-04,5,0.0,1.1,6.6,5.5,1651.7,4528.29
NB-DÉC-055,Décor,Wall Art,2026-05-11,6,0.0,0.3,5.0,3.3,1651.7,4528.29
NB-DÉC-055,Décor,Wall Art,2026-05-18,7,0.9,0.0,7.0,0.0,1651.7,4528.29
NB-DÉC-055,Décor,Wall Art,2026-05-25,8,0.1,0.0,5.4,0.0,1651.7,4528.29
NB-DÉC-056,Décor,Candles,2026-04-06,1,10.7,5.2,40.4,48.0,523.2,984.65
NB-DÉC-056,Décor,Candles,2026-04-13,2,3.1,5.3,24.9,39.0,523.2,984.65
NB-DÉC-056,Décor,Candles,2026-04-20,3,2.1,6.1,16.9,46.0,523.2,984.65
NB-DÉC-056,Décor,Candles,2026-04-27,4,0.0,1.6,4.7,9.0,523.2,984.65
NB-DÉC-056,Décor,Candles,2026-05-04,5,0.0,1.6,6.4,10.7,523.2,984.65
NB-DÉC-056,Décor,Candles,2026-05-11,6,0.0,1.5,6.3,3.1,523.2,984.65
NB-DÉC-056,Décor,Candles,2026-05-18,7,0.0,0.8,4.9,2.1,523.2,984.65
NB-DÉC-056,Décor,Candles,2026-05-25,8,0.0,0.1,4.7,0.0,523.2,984.65
NB-DÉC-057,Décor,Candles,2026-04-06,1,30.6,11.4,31.9,106.0,1380.75,2845.4
NB-DÉC-057,Décor,Candles,2026-04-13,2,39.5,11.3,39.5,101.0,1380.75,2845.4
NB-DÉC-057,Décor,Candles,2026-04-20,3,25.5,11.0,25.5,100.0,1380.75,2845.4
NB-DÉC-057,Décor,Candles,2026-04-27,4,14.2,7.5,14.2,28.0,1380.75,2845.4
NB-DÉC-057,Décor,Candles,2026-05-04,5,11.5,6.3,11.5,30.6,1380.75,2845.4
NB-DÉC-057,Décor,Candles,2026-05-11,6,2.9,5.9,2.9,39.5,1380.75,2845.4
NB-DÉC-057,Décor,Candles,2026-05-18,7,0.0,5.3,15.5,25.5,1380.75,2845.4
NB-DÉC-057,Décor,Candles,2026-05-25,8,0.1,1.0,11.8,14.2,1380.75,2845.4
NB-DÉC-058,Décor,Wall Art,2026-04-06,1,4.9,4.9,19.2,39.0,1223.4,2362.24
NB-DÉC-058,Décor,Wall Art,2026-04-13,2,0.5,6.4,10.8,26.0,1223.4,2362.24
NB-DÉC-058,Décor,Wall Art,2026-04-20,3,0.0,3.0,7.0,31.0,1223.4,2362.24
NB-DÉC-058,Décor,Wall Art,2026-04-27,4,0.0,1.6,6.3,9.0,1223.4,2362.24
NB-DÉC-058,Décor,Wall Art,2026-05-04,5,0.0,1.5,6.3,4.9,1223.4,2362.24
NB-DÉC-058,Décor,Wall Art,2026-05-11,6,0.0,0.7,5.0,0.5,1223.4,2362.24
NB-DÉC-058,Décor,Wall Art,2026-05-18,7,0.5,0.3,6.7,0.0,1223.4,2362.24
NB-DÉC-058,Décor,Wall Art,2026-05-25,8,0.0,0.2,5.4,0.0,1223.4,2362.24
