sku_id,date,on_hand_units,on_order_units,lead_time_days,reorder_point
NB-DÉC-051,2026-03-31,153,114,35,228
NB-DÉC-052,2026-03-31,169,143,35,265
NB-DÉC-053,2026-03-31,888,355,42,736
NB-DÉC-054,2026-03-31,692,143,42,570
NB-DÉC-055,2026-03-31,122,37,14,77
NB-DÉC-056,2026-03-31,227,151,42,284
NB-DÉC-057,2026-03-31,445,170,42,603
NB-DÉC-058,2026-03-31,259,124,42,229
NB-DÉC-059,2026-03-31,96,14,14,105
NB-DÉC-060,2026-03-31,526,197,42,537
NB-DÉC-061,2026-03-31,282,37,14,206
NB-DÉC-062,2026-03-31,372,79,21,298
NB-DÉC-063,2026-03-31,332,249,42,353
NB-DÉC-064,2026-03-31,808,122,35,525
NB-DÉC-065,2026-03-31,157,34,14,120
NB-DÉC-066,2026-03-31,183,43,28,274
NB-DÉC-067,2026-03-31,377,131,21,325
NB-DÉC-068,2026-03-31,769,362,42,595
NB-DÉC-069,2026-03-31,1073,398,42,708
NB-DÉC-070,2026-03-31,937,338,42,599
NB-DÉC-071,2026-03-31,364,359,42,549
NB-DÉC-072,2026-03-31,99,19,14,93
NB-DÉC-073,2026-03-31,335,32,21,217
NB-DÉC-074,2026-03-31,194,181,35,314
NB-DÉC-075,2026-03-31,341,114,35,304
NB-DÉC-076,2026-03-31,835,254,28,518
NB-DÉC-077,2026-03-31,258,170,28,299
NB-DÉC-078,2026-03-31,521,132,21,366
NB-DÉC-079,2026-03-31,285,25,14,194
NB-DÉC-080,2026-03-31,916,356,35,564
NB-DÉC-081,2026-03-31,380,148,21,255
NB-DÉC-082,2026-03-31,386,14,21,276
NB-DÉC-083,2026-03-31,339,345,42,506
NB-DÉC-084,2026-03-31,160,19,14,112
NB-DÉC-085,2026-03-31,558,14,28,424
NB-DÉC-086,2026-03-31,622,162,42,385
NB-DÉC-087,2026-03-31,187,114,35,200
NB-DÉC-088,2026-03-31,791,114,42,592
NB-DÉC-089,2026-03-31,127,44,14,109
NB-DÉC-090,2026-03-31,167,98,14,253
NB-DÉC-091,2026-03-31,564,78,35,639
NB-DÉC-092,2026-03-31,331,127,14,248
NB-DÉC-093,2026-03-31,153,25,21,218
NB-DÉC-094,2026-03-31,188,100,35,196
NB-DÉC-095,2026-03-31,499,80,28,502
NB-DÉC-096,2026-03-31,306,18,21,234
NB-DÉC-097,2026-03-31,284,21,14,258
NB-DÉC-098,2026-03-31,235,134,14,257
NB-DÉC-099,2026-03-31,392,82,21,355
NB-DÉC-100,2026-03-31,458,254,42,393
NB-FUR-001,2026-03-31,346,118,42,1257
NB-FUR-002,2026-03-31,147,43,21,548
NB-FUR-003,2026-03-31,313,63,28,1122
NB-FUR-004,2026-03-31,289,1,21,1263
NB-FUR-005,2026-03-31,138,44,14,420
NB-FUR-006,2026-03-31,206,427,42,1993
NB-FUR-007,2026-03-31,168,141,14,715
NB-FUR-008,2026-03-31,943,870,28,836
NB-FUR-009,2026-03-31,942,973,21,1044
NB-FUR-010,2026-03-31,1478,896,42,1476
NB-FUR-011,2026-03-31,994,1056,21,963
NB-FUR-012,2026-03-31,138,149,21,964
NB-FUR-013,2026-03-31,843,564,14,587
NB-FUR-014,2026-03-31,1457,511,35,836
NB-FUR-015,2026-03-31,143,82,35,1892
NB-FUR-016,2026-03-31,54,110,21,698
NB-FUR-017,2026-03-31,1232,313,28,778
NB-FUR-018,2026-03-31,645,632,28,613
NB-FUR-019,2026-03-31,954,302,14,618
NB-FUR-020,2026-03-31,486,193,35,1669
NB-FUR-021,2026-03-31,757,406,21,439
NB-FUR-022,2026-03-31,994,279,14,573
NB-FUR-023,2026-03-31,1487,746,28,823
NB-FUR-024,2026-03-31,149,126,35,1623
NB-FUR-025,2026-03-31,584,273,21,573
NB-FUR-026,2026-03-31,1548,1104,21,1012
NB-FUR-027,2026-03-31,100,23,35,1256
NB-FUR-028,2026-03-31,1834,859,21,1221
NB-FUR-029,2026-03-31,396,214,14,361
NB-FUR-030,2026-03-31,825,507,14,476
NB-FUR-031,2026-03-31,263,60,35,242
NB-FUR-032,2026-03-31,923,252,35,625
NB-FUR-033,2026-03-31,490,217,35,603
NB-FUR-034,2026-03-31,301,136,21,186
NB-FUR-035,2026-03-31,690,3,42,601
NB-FUR-036,2026-03-31,341,117,14,230
NB-FUR-037,2026-03-31,306,49,28,361
NB-FUR-038,2026-03-31,613,388,42,527
NB-FUR-039,2026-03-31,240,88,21,181
NB-FUR-040,2026-03-31,225,89,21,139
NB-FUR-041,2026-03-31,872,149,35,612
NB-FUR-042,2026-03-31,722,276,28,491
NB-FUR-043,2026-03-31,690,140,35,488
NB-FUR-044,2026-03-31,261,32,28,279
NB-FUR-045,2026-03-31,440,32,28,283
NB-FUR-046,2026-03-31,239,128,21,319
NB-FUR-047,2026-03-31,517,210,21,367
NB-FUR-048,2026-03-31,629,288,28,486
NB-FUR-049,2026-03-31,402,170,21,334
NB-FUR-050,2026-03-31,354,188,35,492
NB-KIT-151,2026-03-31,358,0,42,118
NB-KIT-152,2026-03-31,752,0,14,40
NB-KIT-153,2026-03-31,101,0,14,45
NB-KIT-154,2026-03-31,799,0,42,151
NB-KIT-155,2026-03-31,811,0,42,194
NB-KIT-156,2026-03-31,722,0,28,77
NB-KIT-157,2026-03-31,73,0,14,27
NB-KIT-158,2026-03-31,972,0,21,81
NB-KIT-159,2026-03-31,68,0,35,62
NB-KIT-160,2026-03-31,604,0,28,68
NB-KIT-161,2026-03-31,34,0,21,20
NB-KIT-162,2026-03-31,18,0,42,32
NB-KIT-163,2026-03-31,159,0,21,96
NB-KIT-164,2026-03-31,996,0,28,113
NB-KIT-165,2026-03-31,117,0,42,146
NB-KIT-166,2026-03-31,575,0,21,48
NB-KIT-167,2026-03-31,58,0,28,38
NB-KIT-168,2026-03-31,123,0,35,45
NB-KIT-169,2026-03-31,352,0,21,35
NB-KIT-170,2026-03-31,451,0,21,60
NB-KIT-171,2026-03-31,84,0,28,16
NB-KIT-172,2026-03-31,20,0,21,11
NB-KIT-173,2026-03-31,68,0,35,9
NB-KIT-174,2026-03-31,19,0,35,27
NB-KIT-175,2026-03-31,15,0,14,8
NB-KIT-176,2026-03-31,124,0,28,13
NB-KIT-177,2026-03-31,104,0,14,7
NB-KIT-178,2026-03-31,13,0,14,5
NB-KIT-179,2026-03-31,33,0,28,7
NB-KIT-180,2026-03-31,83,0,28,9
NB-KIT-181,2026-03-31,22,0,21,13
NB-KIT-182,2026-03-31,43,0,42,5
NB-KIT-183,2026-03-31,61,0,14,5
NB-KIT-184,2026-03-31,69,0,14,5
NB-KIT-185,2026-03-31,54,0,28,5
NB-KIT-186,2026-03-31,116,0,14,9
NB-KIT-187,2026-03-31,68,0,28,16
NB-KIT-188,2026-03-31,70,0,21,8
NB-KIT-189,2026-03-31,61,0,14,5
NB-KIT-190,2026-03-31,66,0,14,6
NB-KIT-191,2026-03-31,105,0,28,11
NB-KIT-192,2026-03-31,59,0,14,5
NB-KIT-193,2026-03-31,103,0,35,13
NB-KIT-194,2026-03-31,69,0,42,15
NB-KIT-195,2026-03-31,15,0,28,14
NB-KIT-196,2026-03-31,9,0,28,15
NB-KIT-197,2026-03-31,7,0,21,5
NB-KIT-198,2026-03-31,64,0,14,5
NB-KIT-199,2026-03-31,58,0,42,22
NB-KIT-200,2026-03-31,9,0,21,9
NB-SMA-101,2026-03-31,410,267,42,445
NB-SMA-102,2026-03-31,241,4,14,236
NB-SMA-103,2026-03-31,193,69,28,270
NB-SMA-104,2026-03-31,206,78,35,269
NB-SMA-105,2026-03-31,821,41,42,542
NB-SMA-106,2026-03-31,719,54,42,757
NB-SMA-107,2026-03-31,126,137,14,207
NB-SMA-108,2026-03-31,196,89,14,183
NB-SMA-109,2026-03-31,194,6,21,140
NB-SMA-110,2026-03-31,715,60,35,479
NB-SMA-111,2026-03-31,455,5,21,394
NB-SMA-112,2026-03-31,195,108,21,153
NB-SMA-113,2026-03-31,162,109,21,260
NB-SMA-114,2026-03-31,1095,48,42,724
