sku_id,category,subcategory,unit_cost,list_price,total_8w_forecast,avg_weekly_demand,demand_std_weekly,upper_8w_forecast,lower_8w_forecast,date,on_hand_units,on_order_units,lead_time_days,reorder_point,lead_time_weeks,lead_time_demand,safety_stock,dynamic_reorder_point,available_stock,projected_stockout_units,stockout_risk_score,sales_at_risk_inr,weeks_of_supply,excess_units,overstock_risk_score,capital_locked_inr,quadrant,quadrant_meaning,recommended_action,recommended_reorder_units
NB-DÉC-051,Décor,Mirrors,879.87,1844.83,6.2,0.775,1.3516193990913272,85.6,20.7,2026-03-31,153,114,35,228,5.0,3.9,8.7,12.6,267,0.0,0.0,0.0,197.4,146.8,100.0,129164.92,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-052,Décor,Candles,588.97,1244.85,17.3,2.1625,3.641406836649813,119.9,23.2,2026-03-31,169,143,35,265,5.0,10.8,17.1,27.9,312,0.0,0.0,0.0,78.2,151.7,100.0,89346.75,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-053,Décor,Candles,3250.1,7576.39,171.0,21.375,15.99873041838008,197.5,74.6,2026-03-31,888,355,42,736,6.0,128.2,68.5,196.7,1243,0.0,0.0,0.0,41.5,717.0,100.0,2330321.7,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-054,Décor,Lighting,3039.16,5678.74,97.3,12.1625,12.82974449277927,143.89999999999998,53.800000000000004,2026-03-31,692,143,42,570,6.0,73.0,55.7,128.7,835,0.0,0.0,0.0,56.9,594.7,100.0,1807388.45,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-055,Décor,Wall Art,1651.7,4528.29,9.8,1.225,1.9350387593017357,72.2,15.299999999999999,2026-03-31,122,37,14,77,2.0,2.4,6.8,9.2,159,0.0,0.0,0.0,99.6,112.2,100.0,185320.74,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-056,Décor,Candles,523.2,984.65,15.899999999999999,1.9874999999999998,3.48045884187703,109.2,22.2,2026-03-31,227,151,42,284,6.0,11.9,18.1,30.0,378,0.0,0.0,0.0,114.2,211.1,100.0,110447.52,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-057,Décor,Candles,1380.75,2845.4,124.3,15.5375,13.95465312180851,152.8,59.7,2026-03-31,445,170,42,603,6.0,93.2,60.3,153.5,615,0.0,0.0,0.0,28.6,320.7,100.0,442806.52,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-058,Décor,Wall Art,1223.4,2362.24,5.9,0.7375,1.5874015717517733,66.7,18.6,2026-03-31,259,124,42,229,6.0,4.4,10.4,14.8,383,0.0,0.0,0.0,351.2,253.1,100.0,309642.54,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-059,Décor,Vases & Planters,3279.96,8973.1,14.2,1.775,2.8083580612165533,135.7,20.9,2026-03-31,96,14,14,105,2.0,3.6,8.9,12.5,110,0.0,0.0,0.0,54.1,81.8,100.0,268300.73,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-060,Décor,Candles,3487.9,6533.75,99.0,12.375,13.0214966497711,159.0,57.0,2026-03-31,526,197,42,537,6.0,74.2,56.5,130.7,723,0.0,0.0,0.0,42.5,427.0,100.0,1489333.3,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
