date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2026-03-31,NB-FUR-001,346,118,42,1257
2026-03-31,NB-FUR-002,147,43,21,548
2026-03-31,NB-FUR-003,313,63,28,1122
2026-03-31,NB-FUR-004,289,1,21,1263
2026-03-31,NB-FUR-005,138,44,14,420
2026-03-31,NB-FUR-006,206,427,42,1993
2026-03-31,NB-FUR-007,168,141,14,715
2026-03-31,NB-FUR-008,943,870,28,836
2026-03-31,NB-FUR-009,942,973,21,1044
2026-03-31,NB-FUR-010,1478,896,42,1476
2026-03-31,NB-FUR-011,994,1056,21,963
2026-03-31,NB-FUR-012,138,149,21,964
2026-03-31,NB-FUR-013,843,564,14,587
2026-03-31,NB-FUR-014,1457,511,35,836
2026-03-31,NB-FUR-015,143,82,35,1892
2026-03-31,NB-FUR-016,54,110,21,698
2026-03-31,NB-FUR-017,1232,313,28,778
2026-03-31,NB-FUR-018,645,632,28,613
2026-03-31,NB-FUR-019,954,302,14,618
2026-03-31,NB-FUR-020,486,193,35,1669
2026-03-31,NB-FUR-021,757,406,21,439
2026-03-31,NB-FUR-022,994,279,14,573
2026-03-31,NB-FUR-023,1487,746,28,823
2026-03-31,NB-FUR-024,149,126,35,1623
2026-03-31,NB-FUR-025,584,273,21,573
2026-03-31,NB-FUR-026,1548,1104,21,1012
2026-03-31,NB-FUR-027,100,23,35,1256
2026-03-31,NB-FUR-028,1834,859,21,1221
2026-03-31,NB-FUR-029,396,214,14,361
2026-03-31,NB-FUR-030,825,507,14,476
2026-03-31,NB-FUR-031,263,60,35,242
2026-03-31,NB-FUR-032,923,252,35,625
2026-03-31,NB-FUR-033,490,217,35,603
2026-03-31,NB-FUR-034,301,136,21,186
2026-03-31,NB-FUR-035,690,3,42,601
2026-03-31,NB-FUR-036,341,117,14,230
2026-03-31,NB-FUR-037,306,49,28,361
2026-03-31,NB-FUR-038,613,388,42,527
2026-03-31,NB-FUR-039,240,88,21,181
2026-03-31,NB-FUR-040,225,89,21,139
2026-03-31,NB-FUR-041,872,149,35,612
2026-03-31,NB-FUR-042,722,276,28,491
2026-03-31,NB-FUR-043,690,140,35,488
2026-03-31,NB-FUR-044,261,32,28,279
2026-03-31,NB-FUR-045,440,32,28,283
2026-03-31,NB-FUR-046,239,128,21,319
2026-03-31,NB-FUR-047,517,210,21,367
2026-03-31,NB-FUR-048,629,288,28,486
