date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-05-06,NB-DÉC-056,6,5907.9,984.65,0.0
2024-12-25,NB-FUR-019,76,467687.28,6153.78,1.0
2024-08-15,NB-KIT-157,3,4309.11,1436.37,1.0
2024-08-17,NB-SMA-129,16,211741.92,13233.87,0.0
2024-08-20,NB-KIT-175,1,4194.16,4194.16,0.0
2025-05-06,NB-DÉC-055,5,22641.45,4528.29,0.0
2024-08-14,NB-KIT-152,0,0.0,9116.14,0.0
2025-02-27,NB-KIT-200,0,0.0,6247.93,0.0
2024-04-03,NB-FUR-005,20,522941.6,26147.08,0.0
2024-07-06,NB-FUR-031,12,133624.32,11135.36,0.0
2025-04-08,NB-DÉC-073,15,113472.9,7564.86,0.0
2024-10-27,NB-KIT-192,4,2270.84,567.71,1.0
2025-06-30,NB-DÉC-093,11,55984.72,5089.52,0.0
2024-08-02,NB-FUR-021,16,491537.12,30721.07,0.0
2024-10-02,NB-DÉC-062,17,39804.65,2341.45,0.0
2024-11-25,NB-KIT-155,10,86679.6,8667.96,0.0
2025-08-12,NB-DÉC-057,14,39835.6,2845.4,0.0
2024-09-23,NB-FUR-040,2,21374.44,10687.22,0.0
2026-02-23,NB-FUR-013,27,752118.48,27856.24,0.0
2025-05-27,NB-SMA-103,6,78809.4,13134.9,0.0
2026-01-05,NB-KIT-186,1,7014.34,7014.34,0.0
2024-08-27,NB-SMA-117,12,92410.92,7700.91,0.0
2025-11-07,NB-DÉC-075,12,68591.28,5715.94,0.0
2025-05-09,NB-FUR-040,3,32061.66,10687.22,0.0
2025-03-07,NB-KIT-178,0,0.0,2746.31,0.0
2025-06-03,NB-FUR-040,17,161558.99,9503.47,1.0
2025-11-20,NB-SMA-138,3,16071.99,5357.33,0.0
2025-06-01,NB-FUR-048,23,256816.85,11165.95,0.0
2025-09-22,NB-FUR-020,32,875243.84,27351.37,0.0
2025-03-20,NB-KIT-197,0,0.0,10313.52,0.0
2024-10-04,NB-DÉC-055,15,52390.8,3492.72,1.0
2025-02-07,NB-SMA-147,1,3482.81,3482.81,0.0
2024-02-16,NB-FUR-005,29,758265.32,26147.08,0.0
2025-03-05,NB-DÉC-063,5,5551.55,1110.31,0.0
2024-07-04,NB-DÉC-097,14,35045.08,2503.22,0.0
2024-10-13,NB-DÉC-096,17,100207.35,5894.55,0.0
2025-12-17,NB-DÉC-092,15,61932.75,4128.85,0.0
2024-07-14,NB-KIT-199,1,3064.09,3064.09,0.0
2025-06-18,NB-DÉC-064,16,102461.12,6403.82,0.0
2025-05-29,NB-FUR-006,28,698316.64,24939.88,0.0
2025-03-31,NB-SMA-133,1,19573.33,19573.33,0.0
2024-01-01,NB-DÉC-090,18,87285.6,4849.2,0.0
2025-04-03,NB-FUR-013,27,752118.48,27856.24,0.0
2025-11-12,NB-DÉC-058,1,2362.24,2362.24,0.0
2024-07-03,NB-SMA-139,2,34530.18,17265.09,0.0
2025-11-25,NB-DÉC-099,20,113584.0,5679.2,0.0
2024-12-08,NB-DÉC-096,14,82523.7,5894.55,0.0
2025-12-30,NB-DÉC-079,12,32208.48,2684.04,0.0
2025-04-29,NB-SMA-117,7,53906.37,7700.91,0.0
2024-06-25,NB-DÉC-075,9,51443.46,5715.94,0.0
2024-10-24,NB-FUR-037,10,57739.7,5773.97,0.0
2025-09-20,NB-KIT-152,2,18232.28,9116.14,0.0
2024-09-19,NB-KIT-154,3,21393.39,7131.13,0.0
2024-10-10,NB-FUR-007,52,404361.88,7776.19,0.0
2025-08-09,NB-KIT-171,0,0.0,7663.86,0.0
2026-02-14,NB-FUR-008,28,302106.84,10789.53,0.0
2024-06-16,NB-SMA-115,24,371364.48,15473.52,0.0
2024-11-15,NB-FUR-032,27,842111.1,31189.3,0.0
